,0
UGDS_ASIAN,5308132981.030841
UGDS_AIAN,5296597179.417808
UGDS_NHPI,5228566826.021724
UGDS_UNKN,5197111317.008383
UGDS_BLACK,5194858012.90587
UGDS_2MOR,5136598466.97456
UGDS_HISP,5107503402.479091
UGDS_WHITE,5092698657.539349
UGDS_NRA,5049057133.618212
NOPELL_ENRL_ORIG_YR6_RT,798732233.25545
PCIP29,680548760.0226451
MD_INC_ENRL_ORIG_YR8_RT,599869120.2380122
FIRSTGEN_ENRL_ORIG_YR8_RT,515323707.25740623
FEMALE_ENRL_ORIG_YR8_RT,513417862.5568747
NOT1STGEN_ENRL_ORIG_YR8_RT,506419263.53600466
GRAD_DEBT_MDN_SUPP,470033859.80138993
PCIP48,434491393.3421691
IND_ENRL_ORIG_YR6_RT,392334170.2148485
DEP_ENRL_ORIG_YR8_RT,387044096.34665203
PCIP41,365058431.74488246
PELL_ENRL_ORIG_YR8_RT,336616216.6858847
PCIP49,314483308.0972599
PCIP27,274594619.96559244
FIRSTGEN_ENRL_ORIG_YR6_RT,259754844.44639695
PCIP16,258173092.3773291
PCIP01,250374421.38416243
fsend_2,249038117.85825914
fsend_5,237349420.7103126
PCIP14,230043906.77139366
IND_INC_PCT_H2,229226130.91942847
PCIP51,228329373.55623186
PCIP45,222216739.15502614
PCIP47,222117261.40712517
PCIP44,207440716.0980237
PCIP03,206787860.33969104
PCIP09,205451278.76748228
PCIP13,201464902.65173304
PCIP52,197302952.80137354
MD_INC_ENRL_ORIG_YR6_RT,192398732.8932588
PCIP04,188674518.36045158
PCIP19,183307112.19427437
PCIP22,181203170.92702806
PCIP15,170953531.57779205
PCIP43,167656028.1062734
DEP_INC_PCT_M2,164143058.70006418
PCIP30,164064153.5271361
PCIP24,158712542.60847902
PCIP26,155693999.07616866
PCIP39,151956821.88100672
ENRL_ORIG_YR3_RT,147006084.90376318
PCIP50,146700740.57817173
HI_INC_ENRL_ORIG_YR6_RT,142065714.1915183
fsend_3,141984584.337026
PCIP11,141087564.09441
PCIP31,138074370.86634505
PCIP42,137612235.06710976
PELL_ENRL_ORIG_YR3_RT,131103741.32370752
PCIP10,123045870.854213
fsend_1,122540408.54604161
LOAN_ENRL_ORIG_YR6_RT,122214718.07769859
NOT1STGEN_ENRL_ORIG_YR3_RT,120393510.7952255
PELL_ENRL_ORIG_YR2_RT,119714885.31108904
PCIP38,106122390.26182687
NOT1STGEN_ENRL_ORIG_YR4_RT,105292482.69395852
PCIP12,96777843.08818626
RPY_5YR_RT,96243460.60840642
NOLOAN_ENRL_ORIG_YR2_RT,95484510.95303631
PCIP40,94815073.59143293
NOPELL_ENRL_ORIG_YR4_RT,88822889.4785701
NOT1STGEN_ENRL_ORIG_YR6_RT,78417596.73852599
PCIP54,77830830.23074508
NOLOAN_ENRL_ORIG_YR3_RT,74249476.29145277
NOPELL_ENRL_ORIG_YR2_RT,70531827.85592723
COMPL_RPY_5YR_RT,66044264.174432635
MALE_RPY_5YR_RT,55777910.09147918
MD_INC_ENRL_ORIG_YR4_RT,51832539.41765022
FIRSTGEN_ENRL_ORIG_YR3_RT,50091897.76832986
NONCOM_RPY_5YR_RT,44933089.54686725
HI_INC_ENRL_ORIG_YR3_RT,42825004.52503085
HI_INC_ENRL_ORIG_YR2_RT,41524862.02020693
DEP_INC_PCT_H2,37438449.35682273
NOLOAN_ENRL_ORIG_YR4_RT,31790546.20430076
DEP_STAT_PCT_IND,31037442.73868525
FEMALE_ENRL_ORIG_YR3_RT,30398949.73435545
PELL_RPY_5YR_RT,26140885.99217379
HI_INC_RPY_5YR_RT,25018022.66683197
DEP_ENRL_ORIG_YR4_RT,22296859.36029935
C150_4_HISP,21896201.31007886
IND_RPY_5YR_RT,18484193.770186782
PAR_ED_PCT_1STGEN,17845451.5396657
SATMTMID,17425562.256376743
IND_INC_PCT_LO,15080641.301486135
IND_ENRL_ORIG_YR3_RT,13226812.173251271
HI_INC_ENRL_ORIG_YR4_RT,12759802.272506356
PCIP23,12529491.84971881
SATVRMID,10739376.415825307
C150_4_BLACK,10551096.8611238
MALE_ENRL_ORIG_YR6_RT,9931220.597514749
LO_INC_ENRL_ORIG_YR2_RT,7247951.76446569
ACTMTMID,6873107.585356712
PCTPELL,6776668.843414187
RET_FT4,4982462.441498995
ACTMT25,4061370.45547688
ACTCM75,3182810.6077418327
C150_4_WHITE,2967609.745144844
ACTENMID,1899051.5559364557
pct_hispanic,1202981.748832345
ACTCM25,385136.21558892727
SAT_AVG_ALL,237559.9038501978
pct_grad_prof,94610.5430123806
GRAD_DEBT_MDN,3933.396956920624
median_hh_inc,1960.8020148277283
DEBT_MDN,1166.223172903061
WDRAW_DEBT_MDN,-2487.043367624283
CUML_DEBT_N,-2522.3751274347305
NPT42_PUB,-4657.089376181364
NPT45_PRIV,-4932.737248301506
NPT44_PRIV,-5378.764269351959
CUML_DEBT_P90,-5491.073810100555
NOPELL_DEBT_MDN,-5792.528140664101
PELL_DEBT_MDN,-5932.408068656921
DEP_DEBT_MDN,-6011.4439234137535
MD_INC_DEBT_MDN,-6021.904867887497
NPT4_PUB,-6281.5397799015045
NPT44_PUB,-6295.949359178543
TUITIONFEE_OUT,-6315.384722709656
IND_DEBT_MDN,-6574.625901937485
NPT42_PRIV,-6652.100784301758
TUITIONFEE_IN,-6652.5259709358215
NPT41_PRIV,-6690.461559295654
HI_INC_DEBT_MDN,-7315.654796719551
NPT45_PUB,-7355.442727804184
NPT4_PRIV,-7519.9091827869415
LO_INC_DEBT_MDN,-7767.44890910387
CUML_DEBT_P25,-7940.901575565338
NPT41_PUB,-8144.95871758461
NPT43_PRIV,-8682.415965080261
UGDS,-8807.899208651805
NPT43_PUB,-9741.198612809181
CUML_DEBT_P75,-11521.418170452118
DEBT_MDN_SUPP,-11837.67362344265
CUML_DEBT_P10,-15213.46348297596
SAT_AVG,-291987.445962131
pct_black,-366696.98425614834
DEP_RPY_5YR_RT,-451290.55553889275
pct_born_us,-869565.3737556934
pct_asian,-1065933.4944298267
pct_white,-1127258.9951072931
ACTEN75,-1369878.9325492382
C150_4_ASIAN,-1693291.0819233656
pct_ba,-1702205.640131712
ACTCMMID,-1797015.9418219328
ACTEN25,-2633315.477814913
UG25abv,-3187111.5365606546
IND_INC_PCT_H1,-3554197.1785951853
poverty_rate,-3790932.8232102394
SATVR75,-5251502.709464252
SATVR25,-5539650.086853862
FIRSTGEN_ENRL_ORIG_YR4_RT,-6037770.069180012
DEP_ENRL_ORIG_YR3_RT,-6176330.660726428
ACTMT75,-6547428.109555483
SATMT25,-8653058.700320184
SATMT75,-8797971.552169561
MALE_ENRL_ORIG_YR2_RT,-9082654.210562825
unemp_rate,-10573511.2612257
ADM_RATE,-11606503.948454976
FEMALE_RPY_5YR_RT,-12133557.314012647
LOAN_ENRL_ORIG_YR8_RT,-13471142.606016755
IND_INC_PCT_M2,-13610627.419329762
NOT1STGEN_ENRL_ORIG_YR2_RT,-14189297.115395904
NOPELL_RPY_5YR_RT,-15310887.661835313
female,-15813613.05979228
PCIP05,-16665906.708545089
LOAN_ENRL_ORIG_YR3_RT,-16963270.600123763
FIRSTGEN_ENRL_ORIG_YR2_RT,-17166292.88408661
ENRL_ORIG_YR6_RT,-19736928.093535304
INC_PCT_H2,-20787778.756845117
MD_INC_RPY_5YR_RT,-20926931.48150778
MALE_ENRL_ORIG_YR3_RT,-22193767.410752416
DEP_ENRL_ORIG_YR2_RT,-23251237.971812844
IND_INC_PCT_M1,-23255345.225474358
NOTFIRSTGEN_RPY_5YR_RT,-25897945.756055355
LO_INC_ENRL_ORIG_YR4_RT,-27605709.816271782
PCTFLOAN,-30268758.23830998
LOAN_ENRL_ORIG_YR4_RT,-30510018.506601572
loan_ever,-32703167.131677985
INC_PCT_LO.1,-35856846.25960231
INC_PCT_LO,-35856848.903746724
LO_INC_RPY_5YR_RT,-45442717.240406275
ENRL_ORIG_YR8_RT,-48082181.91441703
IND_ENRL_ORIG_YR2_RT,-58962534.611861825
FIRSTGEN_RPY_5YR_RT,-59472288.430416346
C150_4_POOLED_SUPP,-59892565.59566045
LO_INC_ENRL_ORIG_YR6_RT,-60403776.875525236
ENRL_ORIG_YR4_RT,-61602796.56767452
